Identification :	anonyme	 Operateur : 	Régis	 Id tablette : 	612374849	 Id Curseur : 	 ??? 
2019-02-20	 11-45-26
Fichier origine : 	C:\Users\utilisateur\Desktop\lettre a ecriture normale
Nb segments :	1
Seg	 Num	 X /100 mm	 Y /100 mm	 Interv ms	 Time ms	 Tip 	P	 Az 	 Al
0	0	15432	12019	8	8	0	0	198	87
0	1	15432	12019	7	15	0	0	198	87
0	2	15432	12005	8	23	0	0	207	88
0	3	15432	11976	7	30	0	0	207	88
0	4	15432	11934	8	38	0	0	207	88
0	5	15432	11901	8	46	0	0	207	88
0	6	15432	11864	7	53	0	0	225	89
0	7	15433	11827	8	61	0	0	225	89
0	8	15434	11787	7	68	0	0	225	89
0	9	15434	11749	8	76	0	0	270	89
0	10	15434	11712	7	83	0	0	270	89
0	11	15434	11672	8	91	0	0	270	89
0	12	15434	11638	7	98	0	0	270	89
0	13	15434	11606	8	106	0	0	270	89
0	14	15432	11577	7	113	0	0	315	89
0	15	15424	11552	8	121	0	0	315	89
0	16	15412	11529	7	128	0	0	315	89
0	17	15402	11510	8	136	0	0	333	88
0	18	15392	11510	7	143	0	0	333	88
0	19	15383	11510	8	151	0	0	333	88
0	20	15374	11515	7	158	0	0	342	87
0	21	15366	11515	8	166	0	0	0	87
0	22	15360	11515	7	173	0	0	0	88
0	23	15354	11515	8	181	0	0	0	88
0	24	15350	11515	7	188	0	0	0	88
0	25	15346	11515	8	196	0	0	45	89
0	26	15344	11515	7	203	0	0	63	88
0	27	15343	11515	8	211	0	0	90	87
0	28	15341	11515	7	218	0	0	90	86
0	29	15341	11520	8	226	0	0	101	85
0	30	15341	11534	7	233	0	0	108	84
0	31	15341	11539	8	241	0	0	110	81
0	32	15341	11555	7	248	0	0	108	81
0	33	15341	11559	8	256	0	0	112	79
0	34	15341	11568	7	263	0	0	114	78
0	35	15341	11576	8	271	0	0	116	77
0	36	15341	11584	8	279	0	0	118	75
0	37	15341	11591	7	286	0	0	116	74
0	38	15341	11596	8	294	0	0	118	73
0	39	15341	11601	7	301	0	0	116	72
0	40	15341	11604	8	309	0	0	119	72
0	41	15341	11606	7	316	0	0	117	71
0	42	15341	11607	8	324	0	0	117	71
0	43	15341	11607	7	331	0	0	118	70
0	44	15341	11607	8	339	0	0	118	70
0	45	15346	11607	7	346	0	0	117	69
0	46	15355	11607	8	354	0	0	119	68
0	47	15360	11607	7	361	0	0	118	68
0	48	15368	11607	8	369	0	0	118	68
0	49	15381	11607	7	376	0	0	117	67
0	50	15386	11604	8	384	0	0	117	67
0	51	15396	11602	7	391	0	0	118	65
0	52	15406	11600	8	399	0	0	117	65
0	53	15416	11599	7	406	0	0	117	63
0	54	15425	11597	8	414	0	0	117	63
0	55	15441	11597	7	421	0	0	118	62
0	56	15457	11597	8	429	0	0	117	61
0	57	15473	11597	7	436	0	0	118	60
0	58	15493	11597	8	444	0	0	118	59
0	59	15519	11597	7	451	0	0	116	57
0	60	15552	11597	8	459	0	0	117	56
0	61	15593	11601	7	466	0	0	117	54
0	62	15625	11613	8	474	0	0	116	52
0	63	15657	11617	7	481	0	0	117	50
0	64	15689	11624	8	489	0	0	117	48
0	65	15720	11635	7	496	0	0	117	46
0	66	15749	11640	8	504	0	0	117	44
0	67	15777	11643	8	512	0	0	117	43
0	68	15803	11644	7	519	0	0	116	41
0	69	15827	11644	8	527	0	0	116	40
0	70	15851	11644	7	534	0	0	117	39
0	71	15874	11644	8	542	0	0	117	39
0	72	15895	11644	7	549	0	0	117	39
0	73	15916	11644	8	557	0	0	117	39
0	74	15934	11644	7	564	0	0	117	40
0	75	15951	11644	8	572	0	0	118	40
0	76	15966	11655	7	579	0	0	119	41
0	77	15981	11669	8	587	0	0	119	42
0	78	15995	11686	7	594	0	0	120	43
0	79	16006	11707	8	602	0	0	121	44
0	80	16013	11730	7	609	0	0	121	46
0	81	16014	11755	8	617	0	0	122	46
0	82	16014	11755	21	638	1	24	123	47
0	83	16014	11805	7	645	1	60	124	48
0	84	16014	11832	8	653	1	105	123	48
0	85	16014	11858	7	660	1	140	124	49
0	86	16007	11885	8	668	1	176	124	49
0	87	15999	11912	7	675	1	205	124	49
0	88	15989	11938	8	683	1	235	124	49
0	89	15977	11965	8	691	1	266	124	49
0	90	15963	11989	7	698	1	299	124	49
0	91	15946	12013	8	706	1	324	125	48
0	92	15927	12035	7	713	1	341	125	48
0	93	15904	12056	8	721	1	359	125	48
0	94	15877	12074	7	728	1	373	125	48
0	95	15844	12090	8	736	1	387	125	48
0	96	15807	12102	7	743	1	398	125	48
0	97	15762	12112	8	751	1	411	125	48
0	98	15712	12118	7	758	1	422	125	48
0	99	15656	12118	8	766	1	429	125	48
0	100	15592	12118	7	773	1	433	125	48
0	101	15512	12101	8	781	1	436	125	48
0	102	15421	12068	7	788	1	438	125	48
0	103	15317	12018	8	796	1	436	125	48
0	104	15208	11954	7	803	1	435	125	48
0	105	15105	11874	8	811	1	435	125	48
0	106	15016	11782	7	818	1	436	125	48
0	107	14943	11682	8	826	1	439	125	48
0	108	14888	11571	7	833	1	440	124	49
0	109	14850	11452	8	841	1	441	124	49
0	110	14826	11324	7	848	1	442	124	49
0	111	14813	11186	8	856	1	445	124	49
0	112	14807	11044	7	863	1	448	123	49
0	113	14807	10904	8	871	1	450	123	49
0	114	14807	10765	7	878	1	453	123	49
0	115	14810	10631	8	886	1	454	122	50
0	116	14826	10501	7	893	1	453	122	50
0	117	14845	10373	8	901	1	453	122	50
0	118	14873	10253	7	908	1	453	120	50
0	119	14909	10152	8	916	1	451	120	50
0	120	14954	10067	8	924	1	449	119	50
0	121	15008	10005	7	931	1	442	119	50
0	122	15069	9964	8	939	1	438	118	51
0	123	15138	9942	7	946	1	433	118	51
0	124	15214	9942	8	954	1	430	117	51
0	125	15296	9956	7	961	1	429	117	51
0	126	15381	10010	8	969	1	427	116	50
0	127	15465	10096	7	976	1	424	116	50
0	128	15547	10210	8	984	1	421	116	50
0	129	15625	10345	7	991	1	415	116	50
0	130	15698	10501	8	999	1	412	116	50
