Identification :	anonyme	 Operateur : 	Régis	 Id tablette : 	612374849	 Id Curseur : 	 ??? 
2019-02-20	 11-45-43
Fichier origine : 	C:\Users\utilisateur\Desktop\lettre a ecriture normale
Nb segments :	1
Seg	 Num	 X /100 mm	 Y /100 mm	 Interv ms	 Time ms	 Tip 	P	 Az 	 Al
0	0	16881	9971	7	7	0	0	135	82
0	1	16547	10349	8	15	0	0	162	87
0	2	16213	10751	8	23	0	0	236	86
0	3	16154	10774	7	30	0	0	243	88
0	4	16112	10774	8	38	0	0	243	88
0	5	16067	10589	7	45	0	0	243	88
0	6	16022	10483	8	53	0	0	225	89
0	7	15968	10419	7	60	0	0	225	89
0	8	15914	10437	8	68	0	0	225	89
0	9	15862	10466	7	75	0	0	180	89
0	10	15809	10491	8	83	0	0	180	89
0	11	15758	10687	7	90	0	0	180	89
0	12	15705	10698	8	98	0	0	135	89
0	13	15658	10707	7	105	0	0	90	89
0	14	15611	10811	8	113	0	0	90	89
0	15	15564	10821	7	120	0	0	90	88
0	16	15514	10828	8	128	0	0	90	89
0	17	15454	10834	7	135	0	0	90	89
0	18	15383	10837	8	143	0	0	90	89
0	19	15303	10841	7	150	0	0	0	90
0	20	15216	10847	8	158	0	0	0	90
0	21	15128	10849	7	165	0	0	0	90
0	22	15040	10850	8	173	0	0	270	89
0	23	14954	10853	7	180	0	0	270	89
0	24	14871	10856	8	188	0	0	270	88
0	25	14789	10858	7	195	0	0	270	88
0	26	14715	10861	8	203	0	0	270	88
0	27	14643	10864	7	210	0	0	270	87
0	28	14581	10867	8	218	0	0	270	88
0	29	14525	10872	7	225	0	0	270	88
0	30	14477	10876	8	233	0	0	270	88
0	31	14437	10882	7	240	0	0	270	89
0	32	14408	10890	8	248	0	0	0	90
0	33	14382	10895	8	256	0	0	0	90
0	34	14361	10906	7	263	0	0	0	90
0	35	14361	10914	8	271	0	0	90	89
0	36	14361	10924	7	278	0	0	90	88
0	37	14367	10934	8	286	0	0	90	88
0	38	14367	10949	7	293	0	0	90	87
0	39	14361	10961	8	301	0	0	90	87
0	40	14361	10971	7	308	0	0	90	86
0	41	14361	10981	8	316	0	0	90	86
0	42	14362	10990	7	323	0	0	101	85
0	43	14390	10998	8	331	0	0	99	84
0	44	14429	11003	7	338	0	0	106	83
0	45	14477	11012	8	346	0	0	110	81
0	46	14533	11016	7	353	0	0	114	80
0	47	14592	11018	8	361	0	0	116	79
0	48	14628	11021	7	368	0	0	118	78
0	49	14663	11021	8	376	0	0	123	76
0	50	14696	11021	7	383	0	0	124	74
0	51	14728	11021	8	391	0	0	125	73
0	52	14760	11021	7	398	0	0	124	71
0	53	14789	11021	8	406	0	0	127	69
0	54	14818	11021	7	413	0	0	126	67
0	55	14846	11020	8	421	0	0	127	64
0	56	14874	11018	7	428	0	0	127	62
0	57	14903	11015	8	436	0	0	128	59
0	58	14933	11010	7	443	0	0	128	57
0	59	14965	11006	8	451	0	0	127	55
0	60	14997	11002	7	458	0	0	128	53
0	61	15032	10997	8	466	0	0	128	50
0	62	15064	10994	7	473	0	0	127	49
0	63	15094	10990	8	481	0	0	127	48
0	64	15123	10987	8	489	0	0	125	46
0	65	15149	10986	7	496	0	0	125	45
0	66	15171	10986	8	504	0	0	125	44
0	67	15191	10986	7	511	0	0	123	44
0	68	15208	10986	8	519	0	0	123	44
0	69	15220	10992	7	526	0	0	121	44
0	70	15226	11003	8	534	0	0	121	44
0	71	15230	11014	7	541	0	0	120	45
0	72	15230	11014	5136	5677	1	81	120	46
0	73	15230	11037	8	5685	1	94	121	47
0	74	15230	11050	7	5692	1	134	121	48
0	75	15230	11067	8	5700	1	206	122	48
0	76	15230	11085	7	5707	1	262	121	49
0	77	15230	11105	8	5715	1	311	122	50
0	78	15230	11123	8	5723	1	350	122	50
0	79	15230	11143	7	5730	1	380	122	50
0	80	15230	11163	8	5738	1	408	122	50
0	81	15230	11186	7	5745	1	428	122	50
0	82	15229	11210	8	5753	1	448	122	50
0	83	15225	11241	7	5760	1	465	122	50
0	84	15221	11273	8	5768	1	482	122	50
0	85	15215	11306	7	5775	1	497	122	50
0	86	15205	11338	8	5783	1	509	122	50
0	87	15192	11365	7	5790	1	516	122	50
0	88	15173	11389	8	5798	1	527	122	50
